age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,churn
32.0,1,575.0,0.0,0.0,184.0,0.0,0,264.0,0,0,11.0,1,1,1,0,1,0,3,0,0,0,0,1,0,52.0,1.73,0,0
21.0,0,553.0,0.0,0.0,2.0,0.0,0,5.0,0,0,0.0,1,1,1,0,1,0,2,0,0,0,0,1,0,1.0,0.03,1,0
32.0,1,547.0,3.0,1.0,98.0,3.0,0,275.0,0,0,16.0,1,0,0,1,0,0,4,0,0,0,0,0,0,52.0,1.73,1,0
49.0,0,533.0,41.0,1.0,84.0,41.0,0,259.0,0,0,66.0,1,1,1,1,0,0,4,0,0,0,0,0,0,57.0,1.9,1,0
23.0,0,563.0,0.0,0.0,0.0,0.0,0,24.0,0,0,3.0,1,1,1,0,1,0,3,0,0,0,0,1,0,17.0,0.57,0,0
59.0,0,526.0,0.0,0.0,189.0,0.0,0,253.0,0,0,31.0,1,1,1,1,0,0,1,0,0,0,0,0,0,56.0,1.87,0,0
36.0,1,595.0,10.0,0.0,92.0,10.0,0,189.0,0,0,7.0,1,1,1,0,1,0,1,0,0,0,0,0,0,49.0,1.63,0,0
25.0,0,575.0,0.0,0.0,27.0,0.0,0,70.0,0,0,5.0,1,0,0,0,1,0,3,0,0,0,0,1,0,12.0,0.4,1,1
32.0,1,574.0,5.0,2.0,101.0,5.0,0,137.0,0,0,23.0,1,0,0,0,1,0,4,0,0,0,0,0,0,30.0,1.0,1,0
30.0,0,618.0,60.0,0.0,90.0,59.0,0,309.0,0,0,34.0,1,1,1,0,1,0,0,0,0,0,0,0,0,61.0,2.03,0,0
30.0,1,443.0,62.0,2.0,42.0,29.0,0,102.0,0,0,62.0,1,1,1,0,1,0,3,0,0,0,0,0,0,28.0,0.93,1,0
25.0,1,555.0,1.0,0.0,17.0,1.0,0,24.0,0,0,4.0,1,0,0,0,1,0,1,0,0,0,0,0,0,10.0,0.33,1,0
33.0,1,505.0,6.0,0.0,115.0,6.0,0,242.0,0,0,7.0,1,0,0,1,0,0,3,0,0,0,0,0,0,58.0,1.93,0,0
21.0,1,606.0,0.0,0.0,24.0,0.0,0,79.0,0,0,8.0,1,1,1,0,1,2,4,0,0,0,0,0,0,27.0,0.9,1,0
34.0,1,500.0,2.0,0.0,243.0,2.0,0,260.0,0,0,40.0,1,1,1,1,0,0,3,0,0,0,0,1,0,59.0,1.97,0,0
24.0,1,616.0,0.0,0.0,24.0,0.0,0,60.0,0,0,4.0,1,0,0,0,1,0,3,0,0,0,0,0,0,15.0,0.68,1,0
27.0,0,550.0,6.0,0.0,58.0,6.0,0,93.0,0,0,1.0,1,0,0,0,1,0,3,0,0,0,0,0,0,37.0,1.23,0,0
55.0,1,618.0,14.0,0.0,0.0,14.0,0,250.0,0,0,7.0,1,1,1,0,1,0,1,0,0,0,0,1,0,73.0,2.43,0,0
19.0,1,503.0,1.0,0.0,102.0,1.0,0,219.0,0,0,9.0,1,1,1,1,1,5,0,0,0,0,0,0,0,58.0,1.93,1,0
44.0,0,553.0,0.0,0.0,40.0,0.0,0,61.0,0,0,2.0,1,0,0,0,1,0,2,0,0,0,0,1,0,31.0,1.03,0,0
25.0,1,549.0,4.0,2.0,5.0,3.0,0,5.0,0,0,2.0,1,0,0,0,1,0,3,0,0,0,0,0,0,2.0,0.67,0,0
39.0,1,566.0,0.0,0.0,68.0,0.0,0,85.0,0,0,9.0,1,0,0,0,1,0,4,0,1,0,0,0,0,34.0,1.13,0,0
34.0,0,595.0,7.0,0.0,17.0,7.0,0,57.0,0,0,9.0,1,1,1,1,0,0,3,0,0,0,0,0,0,12.0,0.86,0,0
60.0,1,570.0,38.0,1.0,45.0,38.0,0,154.0,0,0,44.0,1,1,1,1,0,0,3,0,0,0,0,0,0,34.0,1.13,1,0
30.0,1,652.0,37.0,3.0,76.0,37.0,0,164.0,0,0,11.0,1,1,1,0,1,2,4,0,0,0,0,0,0,50.0,1.67,1,0
44.0,1,530.0,17.0,0.0,86.0,17.0,0,229.0,0,0,10.0,1,0,0,0,1,0,3,0,0,0,0,0,0,56.0,1.87,0,0
43.0,1,486.0,0.0,0.0,42.0,0.0,0,179.0,0,0,14.0,1,1,1,0,1,0,4,0,0,0,0,1,0,43.0,1.43,1,0
22.0,1,594.0,5.0,0.0,0.0,5.0,0,245.0,0,0,25.0,1,1,1,0,1,0,4,0,0,0,0,0,0,83.0,2.77,0,0
22.0,1,675.0,1.0,0.0,37.0,1.0,0,77.0,0,0,10.0,1,1,1,0,1,0,4,0,0,0,0,0,0,18.0,0.78,1,0
43.0,-1,468.0,0.0,0.0,27.0,0.0,0,51.0,0,0,2.0,1,1,1,0,1,3,3,0,0,0,0,0,0,14.0,0.74,0,0
54.0,1,587.0,43.0,2.0,72.0,42.0,0,255.0,0,0,37.0,1,1,1,0,1,0,3,0,0,0,0,0,0,66.0,2.2,1,0
26.0,1,563.0,0.0,0.0,32.0,0.0,0,258.0,0,0,12.0,1,0,0,1,1,4,3,0,1,0,0,1,0,60.0,2.0,0,0
